pop,FV3,ind,nacl,mass_g,svl,stage,viralload,nutrient,value,HazardRatio,scalenutrient
RRG,CTRL,59,750,0.1946,9.83,34,402.8151239,NH4,1.415799755,10.87194475,-0.629205767
RRG,CTRL,59,750,0.1946,9.83,34,402.8151239,NP,4.073737761,10.87194475,-0.769589501
RRG,CTRL,59,750,0.1946,9.83,34,402.8151239,SRP,0.347543175,10.87194475,-0.07398129
RRG,CTRL,44,500,0.1584,9.95,34,8260.512427,NH4,1.536438619,10.87194475,-0.433009508
RRG,CTRL,44,500,0.1584,9.95,34,8260.512427,NP,4.409488591,10.87194475,-0.555356438
RRG,CTRL,44,500,0.1584,9.95,34,8260.512427,SRP,0.348439187,10.87194475,-0.06987236
RRG,CTRL,60,750,0.195,10.01,35,11994.87963,NH4,1.904500448,10.87194475,0.165573335
RRG,CTRL,60,750,0.195,10.01,35,11994.87963,NP,5.195206553,10.87194475,-0.054012135
RRG,CTRL,60,750,0.195,10.01,35,11994.87963,SRP,0.366588013,10.87194475,0.013354494
RRG,CTRL,74,1000,0.2189,10.98,36,0,NH4,1.641299744,10.87194475,-0.262472753
RRG,CTRL,74,1000,0.2189,10.98,36,0,NP,7.614917545,10.87194475,1.489936686
RRG,CTRL,74,1000,0.2189,10.98,36,0,SRP,0.215537428,10.87194475,-0.679332998
RRG,CTRL,15,0,0.1489,9.56,34,0,NH4,2.479414828,10.87194475,1.100562666
RRG,CTRL,15,0,0.1489,9.56,34,0,NP,5.738288881,10.87194475,0.292513265
RRG,CTRL,15,0,0.1489,9.56,34,0,SRP,0.432082609,10.87194475,0.313699488
RRG,RV,8,0,0.1313,9.54,32,149075.8368,NH4,2.396134194,10.87194475,0.965122491
RRG,RV,8,0,0.1313,9.54,32,149075.8368,NP,8.217963832,10.87194475,1.874723384
RRG,RV,8,0,0.1313,9.54,32,149075.8368,SRP,0.291572735,10.87194475,-0.330650428
RRG,RV,10,0,0.1392,9.39,31,38363.21465,NH4,1.814836693,10.87194475,0.019752222
RRG,RV,10,0,0.1392,9.39,31,38363.21465,NP,5.208508335,10.87194475,-0.045524646
RRG,RV,10,0,0.1392,9.39,31,38363.21465,SRP,0.348436937,10.87194475,-0.069882675
RRG,RV,24,250,0.1384,9.56,35,2732.1,NH4,2.022007402,10.87194475,0.356676135
RRG,RV,24,250,0.1384,9.56,35,2732.1,NP,4.972931594,10.87194475,-0.19583947
RRG,RV,24,250,0.1384,9.56,35,2732.1,SRP,0.406602698,10.87194475,0.19685376
RRG,RV,38,500,0.1248,9.61,33,14895.04262,NH4,2.106073501,10.87194475,0.49339372
RRG,RV,38,500,0.1248,9.61,33,14895.04262,NP,6.874148781,10.87194475,1.017273188
RRG,RV,38,500,0.1248,9.61,33,14895.04262,SRP,0.306375897,10.87194475,-0.262766115
RRG,RV,39,500,0.1474,9.46,35,5200.579262,NH4,2.451456945,10.87194475,1.055094466
RRG,RV,39,500,0.1474,9.46,35,5200.579262,NP,4.627605994,10.87194475,-0.416181921
RRG,RV,39,500,0.1474,9.46,35,5200.579262,SRP,0.529746255,10.87194475,0.761565257
RRG,RV,51,750,0.1658,9.85,35,5842.404246,NH4,1.57716055,10.87194475,-0.366783002
RRG,RV,51,750,0.1658,9.85,35,5842.404246,NP,3.63661245,10.87194475,-1.04850674
RRG,RV,51,750,0.1658,9.85,35,5842.404246,SRP,0.433689477,10.87194475,0.32106826
RRG,RV,40,500,0.1332,9.66,33,844.1995371,NH4,1.439040754,10.87194475,-0.591408686
RRG,RV,40,500,0.1332,9.66,33,844.1995371,NP,3.291090097,10.87194475,-1.268974734
RRG,RV,40,500,0.1332,9.66,33,844.1995371,SRP,0.437253527,10.87194475,0.337412278
RRG,RV,52,750,0.1441,9.47,32,22411.64978,NH4,2.684946462,10.87194475,1.434820934
RRG,RV,52,750,0.1441,9.47,32,22411.64978,NP,5.17648366,10.87194475,-0.065958681
RRG,RV,52,750,0.1441,9.47,32,22411.64978,SRP,0.518681529,10.87194475,0.710824659
RRG,RV,53,750,0.1794,10.38,35,35370.87231,NH4,2.275409267,10.87194475,0.768786266
RRG,RV,53,750,0.1794,10.38,35,35370.87231,NP,4.495041688,10.87194475,-0.500767438
RRG,RV,53,750,0.1794,10.38,35,35370.87231,SRP,0.506204264,10.87194475,0.653606436
RRG,RV,67,1000,0.2094,10.67,37,1245317.815,NH4,1.342157703,10.87194475,-0.748970615
RRG,RV,67,1000,0.2094,10.67,37,1245317.815,NP,7.479506305,10.87194475,1.403534622
RRG,RV,67,1000,0.2094,10.67,37,1245317.815,SRP,0.179444692,10.87194475,-0.844847003
RRG,RV,55,750,0.1926,10.16,34,3784276.815,NH4,2.389511127,10.87194475,0.954351326
RRG,RV,55,750,0.1926,10.16,34,3784276.815,NP,5.383531961,10.87194475,0.066152956
RRG,RV,55,750,0.1926,10.16,34,3784276.815,SRP,0.443855659,10.87194475,0.367688321
RRG,RV,68,1000,0.1474,9.38,35,3251056.483,NH4,2.199340072,10.87194475,0.64507413
RRG,RV,68,1000,0.1474,9.38,35,3251056.483,NP,4.276026441,10.87194475,-0.640514843
RRG,RV,68,1000,0.1474,9.38,35,3251056.483,SRP,0.514342019,10.87194475,0.690924539
RRG,RV,21,250,0.1643,9.69,34,13216.99153,NH4,1.698048042,10.87194475,-0.170182395
RRG,RV,21,250,0.1643,9.69,34,13216.99153,NP,5.349764975,10.87194475,0.044607202
RRG,RV,21,250,0.1643,9.69,34,13216.99153,SRP,0.317406101,10.87194475,-0.212183827
RRG,RV,22,250,0.1287,9.68,35,3828.28291,NH4,1.888028697,10.87194475,0.138785152
RRG,RV,22,250,0.1287,9.68,35,3828.28291,NP,5.504870681,10.87194475,0.143575745
RRG,RV,22,250,0.1287,9.68,35,3828.28291,SRP,0.342974214,10.87194475,-0.09493362
RRG,RV,23,250,0.1575,9.78,36,114982.9654,NH4,2.305690946,10.87194475,0.818033681
