ind,pop,NaCl,mass_g,svl_mm,stage,ng/uL ,260/280,260/230,Cq1,Cq2,SQ1,SQ2,
308,RR G,0.75 g/L,0.2818,13.45,38,50.016,1.89,0.99,32.42,32.42,62.83908,62.83908,
310,RR A,0.75 g/L,0.1692,9.08,31,37.30,1.95,0.92,37.17,38.01,24.23512,14.13547,
311,RR A,0.75 g/L,0.1298,10.74,33,117.20,1.88,1.00,34.18,36.10,165.97884,48.17547,
312,RR A,0.75 g/L,0.1817,10.68,32,49.00,1.85,0.84,36.31,38.19,42.32007,12.58521,
313,RR A,0.75 g/L,0.2113,9.99,31,49.30,1.86,0.77,39.01,37.94,7.44237,14.82890,
315,RR A,0.75 g/L,0.1389,9.07,33,43.10,1.89,0.87,35.74,32.48,60.92678,493.98154,
316,RR A,0.75 g/L,0.1814,9.43,33,61.40,1.83,0.81,37.22,32.09,23.56567,81.09327,
317,RR A,0.75 g/L,0.1802,9.54,31,53.00,1.85,0.88,27.58,26.62,11541.43524,21345.41235,
318,RR A,0.75 g/L,0.2436,10.7,34,376.60,1.75,0.86,,36.92,,28.51032,
320,RR A,0.75 g/L,0.2208,10.38,33,57.00,1.86,0.91,22.84,22.38,241537.04085,324934.30769,
322,RR A,0.75 g/L,0.164,9.31,29,53.30,1.83,0.78,35.57,35.58,67.72516,67.66680,
323,RR A,0.75 g/L,0.1838,9.11,33,72.10,1.77,0.79,19.34,18.66,2292412.33742,3543674.06872,
324,RR A,0.75 g/L,0.1889,9.6,32,84.30,1.85,0.90,33.10,33.40,332.58047,273.23264,
326,RR A,0.75 g/L,0.1699,9.84,33,160.70,1.78,0.88,36.44,37.26,38.93481,22.88611,
327,RR A,0.75 g/L,0.1593,9.04,33,78.50,1.88,0.93,,36.95,,28.00439,
329,RR A,0.75 g/L,0.2593,12.33,34,169.70,1.84,0.89,,36.32,,42.01755,
330,RR A,0.75 g/L,0.3004,11.64,35,177.50,1.86,0.98,36.93,38.11,28.36258,13.28497,
332,RR D,0.75 g/L,0.1851,11.04,31,91.80,1.96,1.27,37.08,36.14,17.98157,31.54974,
333,RR D,0.75 g/L,0.1688,11.54,34,114.00,1.96,1.24,37.24,36.00,16.33382,34.36884,
334,RR D,0.75 g/L,0.1579,10.29,34,86.00,1.98,1.10,36.10,37.09,32.44255,17.86485,
335,RR D,0.75 g/L,0.1876,11.48,33,113.10,1.99,1.33,,38.08,,9.87775,
337,RR D,0.75 g/L,0.2009,12.27,34,135.20,1.91,1.00,35.68,36.29,41.75263,28.94757,
338,RR D,0.75 g/L,0.1846,11.96,34,95.30,1.91,1.01,37.88,36.11,11.08767,32.25596,
339,RR D,0.75 g/L,0.1513,10.61,33,,,,,,,,
340,RR D,0.75 g/L,0.1805,11.54,33,,,,,,,,
341,RR D,0.75 g/L,0.1528,10.81,33,85.40,1.98,1.11,19.55,19.41,251234.44458,274889.00771,
343,RR D,0.75 g/L,0.1279,10.54,29,64.40,1.92,0.81,34.10,34.37,22.61549,19.05448,
345,RR D,0.75 g/L,0.3406,14.34,35,131.40,1.98,1.28,16.83,15.22,1432310.95866,4015507.50833,
346,RR D,0.75 g/L,0.2631,13.21,35,111.60,1.91,1.02,19.25,19.15,303993.55680,323477.67871,
347,RR D,0.75 g/L,0.2033,11.95,33,180.70,2.00,1.42,36.53,36.38,4.78762,5.26958,
