pop,death_hr,survival,rep,FV3
GRVG,246,0,3,CTRL
GRVG,246,0,4,CTRL
GRVG,246,0,5,CTRL
GRVH,246,0,1,CTRL
GRVH,246,0,2,CTRL
GRVH,246,0,3,CTRL
GRVH,246,0,4,CTRL
GRVH,246,0,5,CTRL
GRVI,246,0,1,CTRL
GRVI,246,0,2,CTRL
GRVI,246,0,3,CTRL
GRVI,246,0,4,CTRL
GRVI,246,0,5,CTRL
RRA,246,0,1,CTRL
RRA,246,0,2,CTRL
RRA,246,0,3,CTRL
RRA,246,0,4,CTRL
RRA,238,1,5,CTRL
RRB,246,0,1,CTRL
RRB,226,1,2,CTRL
RRB,210,1,3,CTRL
RRB,246,0,4,CTRL
RRB,246,0,5,CTRL
RRC,242,1,1,CTRL
RRC,232,1,2,CTRL
RRC,210,1,3,CTRL
RRC,154,1,4,CTRL
RRC,246,0,5,CTRL
RRD,238,1,1,CTRL
RRD,246,0,2,CTRL
RRD,246,0,3,CTRL
RRD,246,0,4,CTRL
RRD,246,0,5,CTRL
RRE,246,0,1,CTRL
RRE,246,0,2,CTRL
RRE,246,0,3,CTRL
RRE,246,0,4,CTRL
RRE,246,0,5,CTRL
RRF,246,0,1,CTRL
RRF,246,0,2,CTRL
RRF,246,0,3,CTRL
RRF,246,0,4,CTRL
RRF,246,0,5,CTRL
RRG,246,0,1,CTRL
RRG,246,0,2,CTRL
RRG,246,0,3,CTRL
RRG,246,0,4,CTRL
RRG,246,0,5,CTRL
SEWA,246,0,1,CTRL
SEWA,246,0,2,CTRL
SEWA,198,1,3,CTRL
SEWA,210,1,4,CTRL
SEWA,232,1,5,CTRL
SEWB,246,0,1,CTRL
SEWB,246,0,2,CTRL
SEWB,246,0,3,CTRL
SEWB,242,1,4,CTRL
SEWB,246,0,5,CTRL
SEWC,246,0,1,CTRL
SEWC,246,0,2,CTRL
SEWC,246,0,3,CTRL
SEWC,246,0,4,CTRL
SEWC,246,0,5,CTRL
SEWD,220,1,1,CTRL
SEWD,246,0,2,CTRL
SEWD,246,0,3,CTRL
SEWD,246,0,4,CTRL
SEWD,246,0,5,CTRL
SEWE,246,0,1,CTRL
SEWE,246,0,2,CTRL
SEWE,182,1,3,CTRL
SEWE,246,0,4,CTRL
SEWE,226,1,5,CTRL
SEWF,246,0,1,CTRL
SEWF,246,0,2,CTRL
SEWF,246,0,3,CTRL
SEWF,246,0,4,CTRL
SEWF,238,1,5,CTRL
SEWG,246,0,1,CTRL
SEWG,190,1,2,CTRL
SEWG,238,1,3,CTRL
SEWG,246,0,4,CTRL
SEWG,246,0,5,CTRL
SEWH,210,1,1,CTRL
SEWH,198,1,2,CTRL
SEWH,246,0,3,CTRL
SEWH,246,0,4,CTRL
